	AreaShape_Center_X	AreaShape_Center_Y	ImageNumber	Intensity_MaxIntensityEdge_Costum	Intensity_UpperQuartileIntensity_Costum	AreaShape_Center_X_Orig	AreaShape_Center_Y_Orig	AreaShape_Center_Y_NoLocalAdjustment	AreaShape_Center_X_NoLocalAdjustment
1611783	0.43602	0.26697	1.00000	0.26533	0.26533	14593.00000	8127.00000	0.26697	0.43602	
1611784	0.43649	0.26699	1.00000	0.50221	0.38043	14599.00000	8127.00000	0.26699	0.43649	
1611785	0.43673	0.26699	1.00000	0.31463	0.31463	14602.00000	8127.00000	0.26699	0.43673	
1612185	0.43395	0.26702	1.00000	0.29127	0.29127	14567.00000	8128.00000	0.26702	0.43395	
1612188	0.43506	0.26705	1.00000	0.53099	0.46397	14581.00000	8128.00000	0.26705	0.43506	
1612189	0.43689	0.26710	1.00000	0.46295	0.46295	14604.00000	8128.00000	0.26710	0.43689	
1612524	0.43340	0.26711	1.00000	0.41915	0.35830	14560.00000	8129.00000	0.26711	0.43340	
1612525	0.43538	0.26696	1.00000	0.39756	0.39302	14585.00000	8127.00000	0.26696	0.43538	
1612526	0.43601	0.26718	1.00000	0.47876	0.43160	14593.00000	8129.00000	0.26718	0.43601	
1612859	0.43308	0.26720	1.00000	0.42145	0.40496	14556.00000	8130.00000	0.26720	0.43308	
1612860	0.43355	0.26722	1.00000	0.27048	0.27048	14562.00000	8130.00000	0.26722	0.43355	
1612861	0.43379	0.26732	1.00000	0.32563	0.29773	14565.00000	8131.00000	0.26732	0.43379	
1612862	0.43451	0.26724	1.00000	0.60713	0.52763	14574.00000	8130.00000	0.26724	0.43451	
1612863	0.43466	0.26725	1.00000	0.55799	0.55799	14576.00000	8130.00000	0.26725	0.43466	
1612864	0.43625	0.26718	1.00000	0.57104	0.50901	14596.00000	8129.00000	0.26718	0.43625	
1612865	0.43665	0.26709	1.00000	0.50783	0.48400	14601.00000	8128.00000	0.26709	0.43665	
1613201	0.43006	0.26733	1.00000	0.42856	0.42856	14518.00000	8132.00000	0.26733	0.43006	
1613202	0.43109	0.26736	1.00000	0.42160	0.36897	14531.00000	8132.00000	0.26736	0.43109	
1613203	0.43411	0.26723	1.00000	0.38406	0.38406	14569.00000	8130.00000	0.26723	0.43411	
1613204	0.43490	0.26735	1.00000	0.59871	0.53603	14579.00000	8131.00000	0.26735	0.43490	
1613205	0.43506	0.26736	1.00000	0.39149	0.39149	14581.00000	8131.00000	0.26736	0.43506	
1613206	0.43530	0.26736	1.00000	0.59713	0.53234	14584.00000	8131.00000	0.26736	0.43530	
1613207	0.43554	0.26727	1.00000	0.60491	0.59094	14587.00000	8130.00000	0.26727	0.43554	
1613208	0.43648	0.26750	1.00000	0.54283	0.47952	14599.00000	8132.00000	0.26750	0.43648	
1613542	0.42848	0.26739	1.00000	0.55422	0.52278	14498.00000	8133.00000	0.26739	0.42848	
1613543	0.42951	0.26731	1.00000	0.59574	0.46634	14511.00000	8132.00000	0.26731	0.42951	
1613544	0.43086	0.26735	1.00000	0.40112	0.38679	14528.00000	8132.00000	0.26735	0.43086	
1613545	0.43165	0.26737	1.00000	0.50007	0.56907	14538.00000	8132.00000	0.26737	0.43165	
1613546	0.43228	0.26739	1.00000	0.39988	0.38781	14546.00000	8132.00000	0.26739	0.43228	
1613547	0.43323	0.26772	1.00000	0.35684	0.35684	14558.00000	8135.00000	0.26772	0.43323	
1613548	0.43339	0.26752	1.00000	0.36821	0.33660	14560.00000	8133.00000	0.26752	0.43339	
1613549	0.43466	0.26765	1.00000	0.65568	0.58774	14576.00000	8134.00000	0.26765	0.43466	
1613550	0.43585	0.26748	1.00000	0.36774	0.36774	14591.00000	8132.00000	0.26748	0.43585	
1613551	0.43616	0.26769	1.00000	0.50264	0.48024	14595.00000	8134.00000	0.26769	0.43616	
1613552	0.43688	0.26751	1.00000	0.60493	0.53667	14604.00000	8132.00000	0.26751	0.43688	
1613868	0.42824	0.26738	1.00000	0.29411	0.29411	14495.00000	8133.00000	0.26738	0.42824	
1613869	0.42911	0.26751	1.00000	0.68495	0.62167	14506.00000	8134.00000	0.26751	0.42911	
1613870	0.43062	0.26755	1.00000	0.44475	0.39757	14525.00000	8134.00000	0.26755	0.43062	
1613871	0.43188	0.26758	1.00000	0.39114	0.39114	14541.00000	8134.00000	0.26758	0.43188	
1613872	0.43307	0.26772	1.00000	0.41834	0.33451	14556.00000	8135.00000	0.26772	0.43307	
1613873	0.43363	0.26742	1.00000	0.32337	0.29587	14563.00000	8132.00000	0.26742	0.43363	
1613874	0.43395	0.26743	1.00000	0.33812	0.33812	14567.00000	8132.00000	0.26743	0.43395	
1613875	0.43418	0.26764	1.00000	0.50265	0.43413	14570.00000	8134.00000	0.26764	0.43418	
1613876	0.43514	0.26746	1.00000	0.57976	0.56076	14582.00000	8132.00000	0.26746	0.43514	
1613877	0.43569	0.26748	1.00000	0.67711	0.60944	14589.00000	8132.00000	0.26748	0.43569	
1613878	0.43680	0.26771	1.00000	0.38897	0.38305	14603.00000	8134.00000	0.26771	0.43680	
1614205	0.42459	0.26759	1.00000	0.64262	0.62827	14449.00000	8136.00000	0.26759	0.42459	
1614207	0.42634	0.26744	1.00000	0.74772	0.71987	14471.00000	8134.00000	0.26744	0.42634	
1614209	0.42887	0.26750	1.00000	0.54422	0.54422	14503.00000	8134.00000	0.26750	0.42887	
1614210	0.43006	0.26753	1.00000	0.35835	0.35835	14518.00000	8134.00000	0.26753	0.43006	
1614211	0.43268	0.26740	1.00000	0.52801	0.54368	14551.00000	8132.00000	0.26740	0.43268	
