	AreaShape_Center_X	AreaShape_Center_Y	ImageNumber	Intensity_MaxIntensityEdge_Costum	Intensity_UpperQuartileIntensity_Costum	AreaShape_Center_X_Orig	AreaShape_Center_Y_Orig	AreaShape_Center_Y_NoLocalAdjustment	AreaShape_Center_X_NoLocalAdjustment	ClosestHandENuclei	ClosestIPOXNuclei	N_Neighbors_1E-3
 189164	0.41541	0.26685	0.00000	0.46252	0.40651	14665.00000	8269.00000	0.26685	0.41541	0.01054	0.00481	2.00000	
 189256	0.40410	0.26685	0.00000	0.96688	0.88919	14535.00000	8269.00000	0.26685	0.40410	0.01054	0.00280	2.00000	
 189345	0.38011	0.26685	0.00000	0.44450	0.44450	14259.00000	8269.00000	0.26685	0.38011	0.00934	0.00321	2.00000	
 189346	0.38524	0.26695	0.00000	0.58946	0.55353	14318.00000	8270.00000	0.26695	0.38524	0.00878	0.00176	1.00000	
 189347	0.38958	0.26685	0.00000	1.00000	0.95473	14368.00000	8269.00000	0.26685	0.38958	0.01265	0.00200	2.00000	
 189348	0.39089	0.26685	0.00000	0.55618	0.50104	14383.00000	8269.00000	0.26685	0.39089	0.01134	0.00248	2.00000	
 189350	0.40341	0.26706	0.00000	0.99697	0.92926	14527.00000	8271.00000	0.26706	0.40341	0.01054	0.00253	4.00000	
 189351	0.40897	0.26685	0.00000	0.95115	0.81428	14591.00000	8269.00000	0.26685	0.40897	0.00816	0.00382	2.00000	
 189352	0.43514	0.26685	0.00000	0.50007	0.56907	14892.00000	8269.00000	0.26685	0.43514	0.00701	0.00439	1.00000	
 189353	0.43558	0.26706	0.00000	0.39114	0.39114	14897.00000	8271.00000	0.26706	0.43558	0.00701	0.00345	2.00000	
 189433	0.38202	0.26706	0.00000	0.27828	0.27828	14281.00000	8271.00000	0.26706	0.38202	0.01188	0.00608	2.00000	
 189434	0.39602	0.26706	0.00000	0.57017	0.49812	14442.00000	8271.00000	0.26706	0.39602	0.00915	0.00228	2.00000	
 189435	0.40793	0.26685	0.00000	0.96552	0.94754	14579.00000	8269.00000	0.26685	0.40793	0.00852	0.00343	1.00000	
 189510	0.37228	0.26737	0.00000	0.46943	0.46943	14169.00000	8274.00000	0.26737	0.37228	0.02091	0.00150	0.00000	
 189511	0.37820	0.26706	0.00000	0.34096	0.34096	14237.00000	8271.00000	0.26706	0.37820	0.00915	0.00402	2.00000	
 189512	0.38072	0.26706	0.00000	0.48440	0.46793	14266.00000	8271.00000	0.26706	0.38072	0.00934	0.00092	1.00000	
 189513	0.38341	0.26695	0.00000	0.60227	0.56271	14297.00000	8270.00000	0.26695	0.38341	0.00718	0.00258	1.00000	
 189514	0.38724	0.26695	0.00000	0.39186	0.39186	14341.00000	8270.00000	0.26695	0.38724	0.01368	0.00056	1.00000	
 189515	0.39350	0.26716	0.00000	0.36873	0.30873	14413.00000	8272.00000	0.26716	0.39350	0.01247	0.00218	3.00000	
 189516	0.39445	0.26727	0.00000	0.99193	0.99118	14424.00000	8273.00000	0.26727	0.39445	0.01396	0.00184	1.00000	
 189517	0.40949	0.26706	0.00000	0.38677	0.38677	14597.00000	8271.00000	0.26706	0.40949	0.00816	0.00492	3.00000	
 189518	0.41732	0.26737	0.00000	0.41250	0.41250	14687.00000	8274.00000	0.26737	0.41732	0.00772	0.00137	2.00000	
 189519	0.42323	0.26706	0.00000	0.31828	0.31828	14755.00000	8271.00000	0.26706	0.42323	0.01112	0.00040	1.00000	
 189520	0.42619	0.26737	0.00000	0.68697	0.51411	14789.00000	8274.00000	0.26737	0.42619	0.00624	0.00242	2.00000	
 189608	0.37576	0.26716	0.00000	0.26018	0.26018	14209.00000	8272.00000	0.26716	0.37576	0.01134	0.00340	2.00000	
 189609	0.37663	0.26695	0.00000	0.39900	0.35557	14219.00000	8270.00000	0.26695	0.37663	0.01297	0.00488	1.00000	
 189610	0.39263	0.26716	0.00000	0.33339	0.33339	14403.00000	8272.00000	0.26716	0.39263	0.01054	0.00301	3.00000	
 189611	0.41680	0.26727	0.00000	0.42101	0.42101	14681.00000	8273.00000	0.26727	0.41680	0.00772	0.00147	3.00000	
 189690	0.38889	0.26737	0.00000	0.33073	0.33073	14360.00000	8274.00000	0.26737	0.38889	0.00624	0.00261	5.00000	
 189691	0.39367	0.26800	0.00000	0.49217	0.49217	14415.00000	8280.00000	0.26800	0.39367	0.01247	0.00179	2.00000	
 189692	0.39897	0.26727	0.00000	0.39918	0.37098	14476.00000	8273.00000	0.26727	0.39897	0.00772	0.00104	3.00000	
 189693	0.39950	0.26716	0.00000	0.31954	0.31954	14482.00000	8272.00000	0.26716	0.39950	0.00772	0.00526	2.00000	
 189694	0.40071	0.26727	0.00000	0.74765	0.71302	14496.00000	8273.00000	0.26727	0.40071	0.01772	0.01799	0.00000	
 189695	0.40523	0.26706	0.00000	0.97989	0.86887	14548.00000	8271.00000	0.26706	0.40523	0.00916	0.00448	1.00000	
 189696	0.41106	0.26716	0.00000	0.50495	0.50495	14615.00000	8272.00000	0.26716	0.41106	0.00590	0.00362	3.00000	
 189697	0.41410	0.26727	0.00000	0.29632	0.29632	14650.00000	8273.00000	0.26727	0.41410	0.00883	0.00085	2.00000	
 189698	0.43732	0.26706	0.00000	0.27048	0.27048	14917.00000	8271.00000	0.26706	0.43732	0.01175	0.00149	1.00000	
 189699	0.43810	0.26727	0.00000	0.60713	0.52763	14926.00000	8273.00000	0.26727	0.43810	0.00878	0.00261	2.00000	
 189776	0.37950	0.26747	0.00000	0.35189	0.35189	14252.00000	8275.00000	0.26747	0.37950	0.01020	0.00246	2.00000	
