	AreaShape_Center_X	AreaShape_Center_Y	ImageNumber	Intensity_MaxIntensityEdge_Costum	Intensity_UpperQuartileIntensity_Costum	AreaShape_Center_X_Orig	AreaShape_Center_Y_Orig	AreaShape_Center_Y_NoLocalAdjustment	AreaShape_Center_X_NoLocalAdjustment	ClosestHandENuclei	ClosestIPOXNuclei	N_Neighbors_1E-3
1507283	0.19591	0.81811	0.00000	0.63006	0.59471	4357.00000	15187.00000	0.81811	0.19591	0.00748	0.00421	4.00000	
1507284	0.19635	0.81811	0.00000	0.57633	0.57633	4364.00000	15187.00000	0.81811	0.19635	0.00684	0.00086	5.00000	
1507285	0.19784	0.81834	0.00000	0.50756	0.59147	4388.00000	15191.00000	0.81834	0.19784	0.00771	0.00176	6.00000	
1507458	0.14672	0.81811	0.00000	0.65822	0.64739	3565.00000	15187.00000	0.81811	0.14672	0.01269	0.01297	1.00000	
1507459	0.14759	0.81811	0.00000	0.72014	0.68254	3579.00000	15187.00000	0.81811	0.14759	0.00985	0.01366	2.00000	
1507460	0.16734	0.81811	0.00000	0.89458	0.85975	3897.00000	15187.00000	0.81811	0.16734	0.00897	0.00124	3.00000	
1507461	0.16951	0.81799	0.00000	0.74544	0.69650	3932.00000	15185.00000	0.81799	0.16951	0.00768	0.00333	4.00000	
1507462	0.18293	0.81817	0.00000	0.70765	0.63586	4148.00000	15188.00000	0.81817	0.18293	0.00923	0.00167	2.00000	
1507463	0.19821	0.81811	0.00000	0.55488	0.55074	4394.00000	15187.00000	0.81811	0.19821	0.00771	0.00279	4.00000	
1507641	0.14547	0.81828	0.00000	0.95929	0.91206	3545.00000	15190.00000	0.81828	0.14547	0.00865	0.00925	4.00000	
1507642	0.14858	0.81822	0.00000	0.77382	0.72527	3595.00000	15189.00000	0.81822	0.14858	0.00721	0.00444	5.00000	
1507643	0.15678	0.81822	0.00000	0.61941	0.58176	3727.00000	15189.00000	0.81822	0.15678	0.00897	0.00181	3.00000	
1507644	0.17361	0.81828	0.00000	0.61212	0.60069	3998.00000	15190.00000	0.81828	0.17361	0.00608	0.00049	7.00000	
1507645	0.18722	0.81846	0.00000	0.71546	0.69284	4217.00000	15193.00000	0.81846	0.18722	0.00788	0.00246	5.00000	
1507646	0.19716	0.81817	0.00000	0.65328	0.65328	4377.00000	15188.00000	0.81817	0.19716	0.00821	0.00152	5.00000	
1507823	0.15268	0.81828	0.00000	0.53259	0.53259	3661.00000	15190.00000	0.81828	0.15268	0.01027	0.00143	5.00000	
1507824	0.15336	0.81828	0.00000	0.67101	0.60426	3672.00000	15190.00000	0.81828	0.15336	0.00697	0.00233	4.00000	
1507825	0.15423	0.81834	0.00000	0.71336	0.65318	3686.00000	15191.00000	0.81834	0.15423	0.00652	0.00123	5.00000	
1507826	0.16529	0.81828	0.00000	0.48195	0.48092	3864.00000	15190.00000	0.81828	0.16529	0.00525	0.00370	8.00000	
1507827	0.18038	0.81828	0.00000	0.78709	0.66632	4107.00000	15190.00000	0.81828	0.18038	0.00821	0.00273	3.00000	
1507828	0.18877	0.81834	0.00000	0.84065	0.78199	4242.00000	15191.00000	0.81834	0.18877	0.00897	0.00061	2.00000	
1507829	0.19032	0.81840	0.00000	0.68678	0.64687	4267.00000	15192.00000	0.81840	0.19032	0.00673	0.00209	5.00000	
1507830	0.19237	0.81834	0.00000	0.43738	0.43738	4300.00000	15191.00000	0.81834	0.19237	0.00308	0.00684	9.00000	
1507831	0.19399	0.81828	0.00000	0.60729	0.59843	4326.00000	15190.00000	0.81828	0.19399	0.00513	0.00268	7.00000	
1507832	0.19430	0.81822	0.00000	0.73782	0.62629	4331.00000	15189.00000	0.81822	0.19430	0.00553	0.00250	7.00000	
1508006	0.15479	0.81834	0.00000	0.65921	0.65921	3695.00000	15191.00000	0.81834	0.15479	0.00326	0.00370	7.00000	
1508007	0.16007	0.81852	0.00000	0.67353	0.63944	3780.00000	15194.00000	0.81852	0.16007	0.00524	0.00039	7.00000	
1508008	0.16821	0.81852	0.00000	0.62555	0.62555	3911.00000	15194.00000	0.81852	0.16821	0.00876	0.00194	4.00000	
1508009	0.17045	0.81834	0.00000	0.83545	0.70935	3947.00000	15191.00000	0.81834	0.17045	0.00543	0.00138	8.00000	
1508010	0.17206	0.81834	0.00000	0.49916	0.49916	3973.00000	15191.00000	0.81834	0.17206	0.00513	0.00167	4.00000	
1508011	0.17399	0.81840	0.00000	0.55917	0.55917	4004.00000	15192.00000	0.81840	0.17399	0.00513	0.00268	6.00000	
1508012	0.18343	0.81834	0.00000	0.51033	0.51033	4156.00000	15191.00000	0.81834	0.18343	0.00727	0.00235	4.00000	
1508013	0.18678	0.81834	0.00000	0.72522	0.70483	4210.00000	15191.00000	0.81834	0.18678	0.00788	0.00662	4.00000	
1508014	0.19144	0.81822	0.00000	0.71834	0.74158	4285.00000	15189.00000	0.81822	0.19144	0.00598	0.00376	5.00000	
1508015	0.19312	0.81834	0.00000	0.55920	0.55114	4312.00000	15191.00000	0.81834	0.19312	0.00385	0.00320	9.00000	
1508170	0.14442	0.81846	0.00000	0.65203	0.60069	3528.00000	15193.00000	0.81846	0.14442	0.01092	0.01220	3.00000	
1508171	0.15001	0.81834	0.00000	0.78251	0.62313	3618.00000	15191.00000	0.81834	0.15001	0.00525	0.00051	5.00000	
1508172	0.15144	0.81852	0.00000	0.68271	0.68246	3641.00000	15194.00000	0.81852	0.15144	0.00893	0.00170	5.00000	
1508173	0.16262	0.81846	0.00000	0.72660	0.68466	3821.00000	15193.00000	0.81846	0.16262	0.00727	0.00106	7.00000	
1508174	0.17013	0.81834	0.00000	0.64148	0.63017	3942.00000	15191.00000	0.81834	0.17013	0.00543	0.00552	8.00000	
1508175	0.17318	0.81846	0.00000	0.56634	0.53781	3991.00000	15193.00000	0.81846	0.17318	0.00697	0.00274	9.00000	
1508176	0.17809	0.81852	0.00000	0.52903	0.52903	4070.00000	15194.00000	0.81852	0.17809	0.00789	0.00197	4.00000	
1508177	0.18442	0.81834	0.00000	0.54811	0.54811	4172.00000	15191.00000	0.81834	0.18442	0.00608	0.00232	5.00000	
1508178	0.18933	0.81817	0.00000	0.98577	0.93305	4251.00000	15188.00000	0.81817	0.18933	0.00625	0.00234	5.00000	
1508375	0.14951	0.81817	0.00000	0.64012	0.51014	3610.00000	15188.00000	0.81817	0.14951	0.00727	0.00126	5.00000	
1508376	0.15523	0.81852	0.00000	0.48863	0.48863	3702.00000	15194.00000	0.81852	0.15523	0.00727	0.00551	7.00000	
1508377	0.15554	0.81822	0.00000	0.53599	0.53599	3707.00000	15189.00000	0.81822	0.15554	0.00684	0.00439	5.00000	
1508378	0.15846	0.81846	0.00000	0.94398	0.87024	3754.00000	15193.00000	0.81846	0.15846	0.00754	0.00422	3.00000	
1508379	0.16113	0.81846	0.00000	0.89739	0.81635	3797.00000	15193.00000	0.81846	0.16113	0.00821	0.00060	8.00000	
1508380	0.16597	0.81846	0.00000	0.97054	0.87713	3875.00000	15193.00000	0.81846	0.16597	0.00525	0.00157	12.00000	
1508381	0.16628	0.81834	0.00000	0.54453	0.54453	3880.00000	15191.00000	0.81834	0.16628	0.00425	0.00227	10.00000	
1508382	0.16659	0.81846	0.00000	0.45933	0.45933	3885.00000	15193.00000	0.81846	0.16659	0.00581	0.00145	10.00000	
1508383	0.16771	0.81846	0.00000	0.56273	0.56273	3903.00000	15193.00000	0.81846	0.16771	0.00876	0.00132	5.00000	
1508384	0.16920	0.81840	0.00000	0.67510	0.65476	3927.00000	15192.00000	0.81840	0.16920	0.00608	0.00740	7.00000	
1508385	0.17554	0.81846	0.00000	0.71528	0.63514	4029.00000	15193.00000	0.81846	0.17554	0.00870	0.00364	5.00000	
1508386	0.18082	0.81846	0.00000	0.65168	0.58138	4114.00000	15193.00000	0.81846	0.18082	0.00789	0.00312	4.00000	
1508387	0.18796	0.81864	0.00000	0.65993	0.65993	4229.00000	15196.00000	0.81864	0.18796	0.00553	0.00123	2.00000	
1508388	0.19560	0.81840	0.00000	0.67895	0.63661	4352.00000	15192.00000	0.81840	0.19560	0.00748	0.00424	6.00000	
1508389	0.19728	0.81869	0.00000	0.53652	0.53207	4379.00000	15197.00000	0.81869	0.19728	0.00719	0.00153	5.00000	
1508390	0.19958	0.81840	0.00000	0.66372	0.66372	4416.00000	15192.00000	0.81840	0.19958	0.00751	0.00191	3.00000	
1508541	0.14504	0.81852	0.00000	0.95929	0.91206	3538.00000	15194.00000	0.81852	0.14504	0.00865	0.00437	4.00000	
1508542	0.14790	0.81858	0.00000	0.72014	0.68254	3584.00000	15195.00000	0.81858	0.14790	0.00748	0.01225	7.00000	
1508543	0.14920	0.81846	0.00000	0.89761	0.83525	3605.00000	15193.00000	0.81846	0.14920	0.00481	0.00202	8.00000	
1508544	0.15461	0.81834	0.00000	0.65921	0.65921	3692.00000	15191.00000	0.81834	0.15461	0.00326	0.00045	7.00000	
1508545	0.15641	0.81858	0.00000	0.54011	0.54011	3721.00000	15195.00000	0.81858	0.15641	0.00897	0.00374	3.00000	
1508546	0.16169	0.81852	0.00000	0.86885	0.77375	3806.00000	15194.00000	0.81852	0.16169	0.00553	0.00056	7.00000	
1508547	0.16560	0.81852	0.00000	0.70884	0.68379	3869.00000	15194.00000	0.81852	0.16560	0.00660	0.00090	12.00000	
1508548	0.17939	0.81846	0.00000	0.55479	0.52985	4091.00000	15193.00000	0.81846	0.17939	0.00884	0.00518	5.00000	
1508549	0.18206	0.81881	0.00000	0.67103	0.57987	4134.00000	15199.00000	0.81881	0.18206	0.01115	0.00257	4.00000	
1508550	0.18510	0.81869	0.00000	0.70530	0.63463	4183.00000	15197.00000	0.81869	0.18510	0.00923	0.00148	7.00000	
1508551	0.18560	0.81852	0.00000	0.61782	0.59797	4191.00000	15194.00000	0.81852	0.18560	0.00660	0.00215	5.00000	
1508552	0.18597	0.81846	0.00000	0.55446	0.55446	4197.00000	15193.00000	0.81846	0.18597	0.00660	0.00401	5.00000	
1508553	0.18765	0.81869	0.00000	0.54289	0.54289	4224.00000	15197.00000	0.81869	0.18765	0.00553	0.00118	4.00000	
1508554	0.19200	0.81846	0.00000	0.71834	0.74158	4294.00000	15193.00000	0.81846	0.19200	0.00660	0.01102	9.00000	
1508555	0.19237	0.81852	0.00000	0.43738	0.43738	4300.00000	15194.00000	0.81852	0.19237	0.00308	0.00891	9.00000	
1508556	0.19293	0.81846	0.00000	0.55920	0.55114	4309.00000	15193.00000	0.81846	0.19293	0.00385	0.00689	8.00000	
1508557	0.19461	0.81846	0.00000	0.67138	0.63358	4336.00000	15193.00000	0.81846	0.19461	0.00660	0.00456	7.00000	
1508558	0.19858	0.81852	0.00000	0.64045	0.59877	4400.00000	15194.00000	0.81852	0.19858	0.00660	0.00605	6.00000	
