	AreaShape_Center_X	AreaShape_Center_Y	ImageNumber	Intensity_MaxIntensityEdge_Costum	Intensity_UpperQuartileIntensity_Costum	AreaShape_Center_X_Orig	AreaShape_Center_Y_Orig	AreaShape_Center_Y_NoLocalAdjustment	AreaShape_Center_X_NoLocalAdjustment	ClosestHandENuclei	ClosestIPOXNuclei	N_Neighbors_1E-3
 536568	0.20776	0.30067	0.00000	0.96939	0.94016	5758.00000	7536.00000	0.30067	0.20776	0.00813	0.00095	2.00000	
 537217	0.19820	0.30061	0.00000	0.77868	0.77868	5572.00000	7535.00000	0.30061	0.19820	0.00372	0.00999	9.00000	
 537329	0.18689	0.30056	0.00000	0.70529	0.70529	5352.00000	7534.00000	0.30056	0.18689	0.00890	0.00628	4.00000	
 537424	0.16596	0.30061	0.00000	0.82758	0.82758	4945.00000	7535.00000	0.30061	0.16596	0.00606	0.01395	6.00000	
 537425	0.18036	0.30061	0.00000	0.86973	0.86973	5225.00000	7535.00000	0.30061	0.18036	0.00571	0.03966	7.00000	
 537434	0.20514	0.30056	0.00000	0.98788	0.98005	5707.00000	7534.00000	0.30056	0.20514	0.00361	0.01124	5.00000	
 537518	0.15871	0.30056	0.00000	0.79464	0.79464	4804.00000	7534.00000	0.30056	0.15871	0.00527	0.02524	10.00000	
 537519	0.15954	0.30067	0.00000	0.79464	0.79464	4820.00000	7536.00000	0.30067	0.15954	0.00728	0.01848	8.00000	
 537520	0.16674	0.30067	0.00000	0.82758	0.82758	4960.00000	7536.00000	0.30067	0.16674	0.00461	0.00842	7.00000	
 537521	0.16833	0.30056	0.00000	0.82758	0.82758	4991.00000	7534.00000	0.30056	0.16833	0.00461	0.03229	7.00000	
 537523	0.17964	0.30056	0.00000	0.86973	0.86973	5211.00000	7534.00000	0.30056	0.17964	0.00461	0.03220	9.00000	
 537525	0.18884	0.30061	0.00000	0.85647	0.85313	5390.00000	7535.00000	0.30061	0.18884	0.00745	0.01692	7.00000	
 537526	0.18956	0.30061	0.00000	0.85647	0.85313	5404.00000	7535.00000	0.30061	0.18956	0.00527	0.02119	7.00000	
 537527	0.18992	0.30056	0.00000	0.85647	0.85313	5411.00000	7534.00000	0.30056	0.18992	0.00639	0.02611	5.00000	
 537528	0.19676	0.30061	0.00000	0.86255	0.85392	5544.00000	7535.00000	0.30061	0.19676	0.00808	0.01736	5.00000	
 537529	0.19758	0.30061	0.00000	0.77868	0.77868	5560.00000	7535.00000	0.30061	0.19758	0.00578	0.02076	7.00000	
 537530	0.19877	0.30061	0.00000	0.83387	0.83387	5583.00000	7535.00000	0.30061	0.19877	0.00452	0.00136	8.00000	
 537622	0.16807	0.30061	0.00000	0.82758	0.82758	4986.00000	7535.00000	0.30061	0.16807	0.00461	0.02771	9.00000	
 537623	0.17090	0.30098	0.00000	0.88670	0.88020	5041.00000	7542.00000	0.30098	0.17090	0.00542	0.03513	11.00000	
 537624	0.17861	0.30061	0.00000	0.86973	0.86973	5191.00000	7535.00000	0.30061	0.17861	0.00639	0.02661	4.00000	
 537625	0.17938	0.30061	0.00000	0.86973	0.86973	5206.00000	7535.00000	0.30061	0.17938	0.00461	0.02927	8.00000	
 537626	0.18165	0.30061	0.00000	0.81757	0.81757	5250.00000	7535.00000	0.30061	0.18165	0.00903	0.03995	5.00000	
 537627	0.18319	0.30056	0.00000	0.87509	0.87509	5280.00000	7534.00000	0.30056	0.18319	0.00728	0.01945	6.00000	
 537628	0.18612	0.30077	0.00000	0.78466	0.78466	5337.00000	7538.00000	0.30077	0.18612	0.00606	0.01292	5.00000	
 537629	0.19069	0.30061	0.00000	0.70370	0.70370	5426.00000	7535.00000	0.30061	0.19069	0.00903	0.01610	3.00000	
 537630	0.19362	0.30061	0.00000	0.84194	0.83579	5483.00000	7535.00000	0.30061	0.19362	0.00542	0.00785	8.00000	
 537631	0.19918	0.30061	0.00000	0.83387	0.83387	5591.00000	7535.00000	0.30061	0.19918	0.00452	0.00627	8.00000	
 537632	0.19974	0.30072	0.00000	0.88151	0.88151	5602.00000	7537.00000	0.30072	0.19974	0.00639	0.00494	11.00000	
 537633	0.20051	0.30061	0.00000	0.82947	0.81422	5617.00000	7535.00000	0.30061	0.20051	0.00852	0.00837	6.00000	
 537634	0.20730	0.30067	0.00000	0.96371	0.93310	5749.00000	7536.00000	0.30067	0.20730	0.00813	0.00355	1.00000	
 537635	0.21018	0.30072	0.00000	0.95462	0.95423	5805.00000	7537.00000	0.30072	0.21018	0.00767	0.00075	5.00000	
 537744	0.15743	0.30077	0.00000	0.79464	0.79464	4779.00000	7538.00000	0.30077	0.15743	0.00606	0.04114	7.00000	
 537745	0.15784	0.30061	0.00000	0.79464	0.79464	4787.00000	7535.00000	0.30061	0.15784	0.00728	0.03604	8.00000	
 537746	0.16000	0.30072	0.00000	0.79464	0.79464	4829.00000	7537.00000	0.30072	0.16000	0.00818	0.01912	4.00000	
 537747	0.16087	0.30067	0.00000	0.79464	0.79464	4846.00000	7536.00000	0.30067	0.16087	0.00578	0.02943	2.00000	
 537748	0.16180	0.30061	0.00000	0.77442	0.77442	4864.00000	7535.00000	0.30061	0.16180	0.00977	0.03966	3.00000	
 537750	0.16267	0.30061	0.00000	0.77442	0.77442	4881.00000	7535.00000	0.30061	0.16267	0.00890	0.02586	2.00000	
 537751	0.16545	0.30067	0.00000	0.82758	0.82758	4935.00000	7536.00000	0.30067	0.16545	0.00908	0.02135	6.00000	
 537752	0.16869	0.30067	0.00000	0.79766	0.79766	4998.00000	7536.00000	0.30067	0.16869	0.00486	0.03126	9.00000	
