	AreaShape_Center_X	AreaShape_Center_Y	ImageNumber	Intensity_MaxIntensityEdge_Costum	Intensity_UpperQuartileIntensity_Costum	AreaShape_Center_X_Orig	AreaShape_Center_Y_Orig	AreaShape_Center_Y_NoLocalAdjustment	AreaShape_Center_X_NoLocalAdjustment
3498023	0.20699	0.29910	1.00000	0.98091	0.97018	5986.00000	7674.00000	0.29910	0.20699	
3498128	0.20606	0.29923	1.00000	1.00000	0.99650	5968.00000	7677.00000	0.29923	0.20606	
3498129	0.20637	0.29913	1.00000	0.90689	0.90164	5974.00000	7675.00000	0.29913	0.20637	
3498130	0.20678	0.29925	1.00000	0.98457	0.96666	5982.00000	7677.00000	0.29925	0.20678	
3498245	0.20581	0.29917	1.00000	0.99676	0.99426	5963.00000	7676.00000	0.29917	0.20581	
3498366	0.20590	0.29943	1.00000	0.99872	0.97573	5965.00000	7681.00000	0.29943	0.20590	
3498367	0.20616	0.29933	1.00000	0.97457	0.94495	5970.00000	7679.00000	0.29933	0.20616	
3498368	0.20688	0.29925	1.00000	0.95462	0.95423	5984.00000	7677.00000	0.29925	0.20688	
3498476	0.20473	0.29935	1.00000	0.98066	0.94900	5942.00000	7680.00000	0.29935	0.20473	
3498477	0.20509	0.29925	1.00000	0.95173	0.93248	5949.00000	7678.00000	0.29925	0.20509	
3498609	0.20493	0.29925	1.00000	0.91643	0.89484	5946.00000	7678.00000	0.29925	0.20493	
3498610	0.20631	0.29934	1.00000	0.92380	0.87935	5973.00000	7679.00000	0.29934	0.20631	
3498611	0.20652	0.29929	1.00000	0.75853	0.75853	5977.00000	7678.00000	0.29929	0.20652	
3498612	0.20657	0.29929	1.00000	0.86704	0.84247	5978.00000	7678.00000	0.29929	0.20657	
3498613	0.20677	0.29945	1.00000	0.96232	0.92326	5982.00000	7681.00000	0.29945	0.20677	
3498614	0.20785	0.29933	1.00000	0.88689	0.88689	6003.00000	7678.00000	0.29933	0.20785	
3498753	0.20432	0.29928	1.00000	0.89692	0.89692	5934.00000	7679.00000	0.29928	0.20432	
3498754	0.20524	0.29931	1.00000	0.97483	0.96467	5952.00000	7679.00000	0.29931	0.20524	
3498755	0.20560	0.29937	1.00000	0.95682	0.94652	5959.00000	7680.00000	0.29937	0.20560	
3498756	0.20693	0.29946	1.00000	0.93449	0.90877	5985.00000	7681.00000	0.29946	0.20693	
3498757	0.20729	0.29942	1.00000	0.98750	0.97267	5992.00000	7680.00000	0.29942	0.20729	
3498758	0.20775	0.29943	1.00000	0.90251	0.86850	6001.00000	7680.00000	0.29943	0.20775	
3498875	0.20539	0.29936	1.00000	0.96402	0.96245	5955.00000	7680.00000	0.29936	0.20539	
3498876	0.20744	0.29952	1.00000	0.94606	0.93471	5995.00000	7682.00000	0.29952	0.20744	
3499003	0.20421	0.29933	1.00000	0.96371	0.93310	5932.00000	7680.00000	0.29933	0.20421	
3499004	0.20713	0.29952	1.00000	0.97225	0.95775	5989.00000	7682.00000	0.29952	0.20713	
3499122	0.20447	0.29939	1.00000	0.96939	0.94016	5937.00000	7681.00000	0.29939	0.20447	
3499123	0.20493	0.29951	1.00000	0.85255	0.81424	5946.00000	7683.00000	0.29951	0.20493	
3499124	0.20538	0.29962	1.00000	0.96645	0.92148	5955.00000	7685.00000	0.29962	0.20538	
